freq_mol_grid,freq_cell_fit
6.496529770347673e-06,1.0328928485644618e-05
6.655886428643296e-06,1.0625409063577425e-05
6.8191520268562115e-06,1.0930399791736722e-05
6.986422449346944e-06,1.1244144944662781e-05
7.157795932471907e-06,1.1566895808528982e-05
7.333373122276693e-06,1.1898910882403064e-05
7.513257133604538e-06,1.224045608528531e-05
7.697553610654768e-06,1.2591804969089708e-05
7.886370789026561e-06,1.2953238937738208e-05
8.079819559284763e-06,1.3325047472544118e-05
8.278013532084855e-06,1.3707528364064743e-05
8.481069104895453e-06,1.4100987950609148e-05
8.68910553035743e-06,1.4505741363591989e-05
8.902244986319892e-06,1.492211277992999e-05
9.12061264759408e-06,1.5350435681683168e-05
9.344336759467374e-06,1.579105312314878e-05
9.573548713020546e-06,1.6244318005621906e-05
9.808383122292519e-06,1.671059336004273e-05
1.004897790333791e-05,1.719025263775688e-05
1.0295474355223923e-05,1.76836800096219e-05
1.054801724301385e-05,1.819127067369886e-05
1.0806754882786324e-05,1.8713431171776314e-05
1.1071839228739941e-05,1.9250579714979543e-05
1.1343425962434541e-05,1.9803146518726053e-05
1.162167458422154e-05,2.037157414729568e-05
1.1906748506916993e-05,2.095631786829111e-05
1.2198815151772409e-05,2.1557846017272873e-05
1.2498046046799696e-05,2.217664037286076e-05
1.2804616927507955e-05,2.2813196542602095e-05
1.3118707840111276e-05,2.3468024359915906e-05
1.3440503247268309e-05,2.4141648292431217e-05
1.3770192136415294e-05,2.483460786204569e-05
1.4107968130756725e-05,2.5547458077042096e-05
1.4454029602978427e-05,2.6280769876608034e-05
1.4808579791749975e-05,2.7035130588115074e-05
1.517182692108487e-05,2.7811144397523634e-05
1.554398432262855e-05,2.8609432833290287e-05
1.5925270560946085e-05,2.9430635264165166e-05
1.6315909561883092e-05,3.0275409411277985e-05
1.67161307440753e-05,3.114443187492304e-05
1.7126169153683958e-05,3.2038398676464916e-05
1.7546265602436242e-05,3.2958025815799e-05
1.7976666809051838e-05,3.390404984481357e-05
1.8417625544138363e-05,3.487722845731184e-05
1.88694007786413e-05,3.587834109586774e-05
1.9332257835935183e-05,3.690818957610047e-05
1.9806468547645547e-05,3.7967598728868314e-05
2.029231141329309e-05,3.905741706089579e-05
2.0790071763853848e-05,4.017851743436351e-05
2.1300041929331402e-05,4.1331797766004855e-05
2.1822521410439576e-05,4.251818174626948e-05
2.235781705449634e-05,4.373861957912944e-05
2.2906243235632564e-05,4.49940887431213e-05
2.3468122039420747e-05,4.628559477423201e-05
2.4043783452033036e-05,4.761417207125763e-05
2.4633565554038964e-05,4.89808847242786e-05
2.5237814718957038e-05,5.0386827366915534e-05
2.5856885816676647e-05,5.183312605304803e-05
2.6491142421869844e-05,5.332093915869887e-05
2.714095702751535e-05,5.485145830980569e-05
2.7806711263660207e-05,5.642590933662334e-05
2.8488796121547527e-05,5.804555325552138e-05
2.918761218324201e-05,5.971168727896294e-05
2.990356985688803e-05,6.142564585447398e-05
3.0637089617738474e-05,6.318880173343475e-05
3.1388602255096134e-05,6.500256707055063e-05
3.2158549125311905e-05,6.686839455488053e-05
3.2947382410989486e-05,6.878777857333166e-05
3.3755565386547914e-05,7.076225640755045e-05
3.458357269029833e-05,7.279340946516907e-05
3.543189060319462e-05,7.488286454639347e-05
3.630101733442166e-05,7.703229514694762e-05
3.719146331398893e-05,7.9243422798417e-05
3.810375149250129e-05,8.151801844706559e-05
3.903841764828289e-05,8.385790387222969e-05
3.999601070203512e-05,8.626495314542657e-05
4.097709303921211e-05,8.874109413134296e-05
4.198224084030476e-05,9.128831003190976e-05
4.301204441922614e-05,9.390864097469701e-05
4.406710856999724e-05,9.660418564690182e-05
4.514805292193694e-05,9.937710297623844e-05
4.625551230356448e-05,0.00010222961386007636
4.7390137115428304e-05,0.00010516400294421117
4.855259371208024e-05,0.00010818262045269347
4.9743564793419323e-05,0.00011128788407018088
5.096374980563504e-05,0.00011448228087832074
5.221386535198555e-05,0.00011776836934771473
5.349464561365198e-05,0.00012114878138706039
5.480684278091661e-05,0.00012462622445111226
5.615122749491653e-05,0.00012820348370914703
5.752858930023444e-05,0.00013188342427567488
5.893973710859066e-05,0.00013566899350517963
6.0385499673909486e-05,0.00013956322335272704
6.186672607903855e-05,0.00014356923280233177
6.338428623440733e-05,0.00014769023036502818
6.493907138891733e-05,0.00015192951664864528
6.653199465336417e-05,0.00015629048700134388
6.816399153669954e-05,0.0001607766342310358
6.983602049544603e-05,0.00016539155140285667
7.154906349659029e-05,0.0001701389347169415
7.330412659428287e-05,0.00017502258646880136
7.510224052068446e-05,0.00018004641809467488
7.694446129130527e-05,0.0001852144533042934
7.883187082519303e-05,0.0001905308313035687
8.076557758033397e-05,0.00019599981010978387
8.274671720463983e-05,0.0002016257699619442
8.47764532029033e-05,0.0002074132168290174
8.685597762011342e-05,0.00021336678601887462
8.898651174153262e-05,0.000219491245890822
9.116930680994597e-05,0.00022579150167469623
9.340564476050434e-05,0.00023227259939958279
9.56968389735936e-05,0.00023893972993530645
9.804423504616955e-05,0.00024579823314992236
0.00010044921158201519,0.0002528536021865497
0.00010291318100138167,0.0002601114878629636
0.00010543759037048947,0.00026757770319747363
0.00010802392225137694,0.0002752582280647124
0.00011067369557259503,0.00028315921398506334
0.00011338846652125994,0.00029128698905156437
0.0001161698294569871,0.00029964806299823186
0.00011901941784824417,0.0003082491324138676
0.00012193890523167096,0.00031709708610551775
0.00012493000619493287,0.00032619901061589065
0.00012799447738368129,0.0003355621958991391
0.00013113411853321572,0.00034519414115956505
0.00013435077352545136,0.0003551025608579153
0.0001376463314718137,0.0003652953908900818
0.0001410227278226961,0.0003757807949431555
0.00014448194550413165,0.0003865671710339228
0.00014802601608234706,0.0003976631582350425
0.0001516570209568825,0.00040907764359429053
0.0001553770925829786,0.0004208197692524161
0.0001591884157239467,0.0004328989397653026
0.0001630932287342602,0.00044532482963630863
0.00016709382487411988,0.0004581073910648156
0.0001711925536562632,0.0004712568619171851
0.00017539182222581174,0.0004847837739265188
0.00017969409677396497,0.0004986989611277804
0.00018410190398637124,0.0005130135685350398
0.00018861783252702673,0.0005277390610677878
0.0001932445345585735,0.0005428872327334702
0.0001979847272998898,0.0005584702160735971
0.00020284119462188801,0.0005745004918809945
0.00020781678868245484,0.0005909908991959733
0.00021291443160149765,0.0006079546455894326
0.00021813711717707878,0.0006254053177411285
0.00022348791264364387,0.0006433568923215751
0.00022896996047338093,0.0006618237471863041
0.00023458648022176465,0.0006808206728914408
0.0002403407704183712,0.0007003628845398225
0.0002462362105040739,0.0007204660339671471
0.00025227626281575734,0.0007411462222779114
0.0002584644746197152,0.0007624200127411792
0.0002648044801949267,0.000784304444056509
0.0002713000029674355,0.0008068170440006689
0.0002779548576970816,0.000829975843466056
0.00028477295271787484,0.0008537993909020831
0.00029175829223332373,0.0008783067671710883
0.0002989149786680654,0.0009035176008306594
0.00030624721507718186,0.0009294520838546293
0.00031375930761461525,0.0009561309878053219
0.0003214556680621315,0.0009835756804700043
0.00032934081642031857,0.0010118081429748712
0.0003374193835631407,0.0010408509873902668
0.0003456961139576069,0.0010707274748412438
0.00035417586845015367,0.0011014615341379734
0.00036286362712137246,0.0011330777809409076
0.0003717644922107656,0.0011656015374760674
0.000380883691113245,0.0011990588528162389
0.0003902265794491301,0.0012334765237443028
0.00039979864420945513,0.0012688821162154423
0.00040960550697842734,0.0013053039874353876
0.0004196529272349309,0.001342771308572398
0.0004299468057350149,0.0013813140881211625
0.0004404931879773525,0.00142096319593734
0.00045129826775370515,0.001461750387961979
0.00046236839078648054,0.0015037083316556364
0.00047371005845551334,0.0015468706321625353
0.00048532993161626623,0.0015912718592257524
0.0004972348345116894,0.0016369475748749778
0.0005094317587800319,0.0016839343619090032
0.0005219278675609676,0.0017322698531957894
0.000534730499702439,0.0017819927618135496
0.0005478471740706953,0.0018331429120570012
0.000561285593966051,0.0018857612713336163
0.0005750536516469627,0.0019398899829754248
0.0005891594329650794,0.0019955723999926385
0.000603611222113986,0.0020528531197961373
0.0006184175064944358,0.0021117780199166325
0.000633586981698918,0.0021723942947490978
0.0006491285566184995,0.0022347504933519146
0.0006650513586749354,0.002298896558331014
0.0006813647391811151,0.0023648838658401157
0.000698078278833003,0.002432765266729157
0.0007152017933362912,0.00250259512887383
0.0007327453391710721,0.002574429380720145
0.0007507192194979148,0.0026483255560788913
0.0007691339902088145,0.002724342840205871
0.0007880004661265722,0.0028025421172048312
0.0008073297273562347,0.0028829860187910184
0.0008271331257923394,0.0029657389744544593
0.000847422291785776,0.0030508672630631182
0.0008682091409741809,0.003138439065947257
0.0008895058812798841,0.0032285245215075494
0.000911325020079503,0.0033211957813906222
0.0009336793715494101,0.0034165270682770844
0.0009565820641913796,0.00351459473532829
0.000980046548542833,0.0036154773273394548
0.001004086605076213,0.0037192556436480965
0.001028716352292131,0.003826012802848224
0.001053950255011024,0.003935834309362026
0.0010798031328682117,0.004048808121922472
0.0011062901690173314,0.004165024724021617
0.0011334269190472592,0.0042845771963810324
0.0011612293201177632,0.0044075612915024445
0.0011897137003192518,0.004534075510358266
0.0012188967882621026,0.004664221181283412
0.0012487957229012229,0.00479810254113166
0.001279428063601597,0.004935826818761497
0.0013108118004507376,0.005077504320918333
0.001342965364824094,0.005223248520581872
0.0013759076402096318,0.005373176147849418
0.0014096579732979229,0.005527407283427836
0.001444236185344279,0.005686065454809153
0.00147966258380959,0.00584927773520674
0.001515957974286704,0.006017174845331361
0.001553143672719363,0.006189891258088606
0.0015912415179208503,0.006367565306281506
0.0016302738843997253,0.006550339293404672
0.0016702636955001633,0.006738359607618656
0.0017112344368646211,0.006931776838995807
0.0017532101702267334,0.0071307459001315274
0.001796215547542551,0.0073354261502176195
0.001840275825468395,0.007545981522676888
0.0018854168801938596,0.0077625806564614805
0.0019316652226386577,0.00798539703111994
0.0019790480140222345,0.008214609105741223
0.0020275930818152966,0.00845040046188694
0.0020773289360826327,0.008692959950626362
0.002128284786226798,0.00894248184379181
0.00218049055814253,0.009199165989575757
0.0022339769117919444,0.009463217972594124
0.0022887752592108445,0.00973484927854403
0.0023449177829567235,0.010014277463587904
0.0024024374550092663,0.010301726328599466
0.0024613680561344953,0.01059742609841139
0.0025217441957238952,0.010901613606207974
0.002583601332120186,0.011214532483210646
0.002646975793441674,0.011536433353808169
0.002711904798917426,0.011867574036287881
0.002778426480745759,0.012208219749328614
0.0028465799064889366,0.012558643324420873
0.002916405102017177,0.012919125424384224
0.0029879430750154768,0.01328995476815705
0.003061235839067035,0.013671428362038572
0.003136326438327451,0.014063851737568545
0.003213258972804138,0.014467539196234842
0.0032920786242558566,0.014882814061205287
0.0033728316827275353,0.01531000893628506
0.0034555655737359805,0.015749465972307218
0.003540328886122451,0.01620153714116976
0.003627171400588412,0.016666584517738395
0.0037161441189312873,0.017144980569841265
0.0038072992939973374,0.017637108456587527
0.0039006904603692658,0.01814336233524884
0.003996372465806577,0.018664147676949575
0.004094401503457168,0.01919988159141865
0.004194835144859018,0.019750993161062776
0.004297732373751424,0.020317923784629155
0.004403153620715605,0.020901127530732536
0.004511160798665009,0.02150107150152986
0.00462181733920619,0.022118236206833786
0.004735188229891616,0.022753115948964894
0.004851340052386219,0.023406219218650336
0.004970341021570208,0.02407806910228661
0.0050922610256010255,0.024769203700892247
0.005217171666958002,0.025480176561086046
0.005345146304493847,0.026211557118436247
0.005476260096517583,0.026963931153535216
0.005610590044934342,0.0277379012611656
0.00574821504046786,0.0285340873329332
0.00588921590899226,0.02935312705375335
0.006033675459000325,0.0301956764125883
0.006181678530236183,0.031062410227845023
0.006333312043520855,0.03195402268785356
0.006488665051800064,0.03287122790685959
0.006647828792444196,0.033814760496975974
0.006810896740831152,0.03478537615655159
0.00697796466524356,0.035783852275428595
0.007149130683112618,0.03681098855757313
0.007324495318641504,0.03786760766157756
0.00750416156184233,0.03895455585954809
0.007688234929021207,0.040072703714904685
0.007876823524746973,0.04122294677963664
0.008070038105340037,0.042406206311572284
0.008267992143918476,0.04362343001223659
0.008470801897039774,0.04487559278588879
0.008678586472977198,0.046163697520346915
0.00889146790167098,0.047488775890225286
0.00910957120639536,0.04885188918322798
